Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,[IFNg] serum,[IgE] serum,[IgG1] serum,[IgG2a] serum,[IL-4] serum,[IL-5] serum,[IL-10] serum,[IFNg] Ag MLN stim,[IFN] CD3 MLN stim,[IFN] Media MLN stim,[IL-5] Media MLN stim,[IL-5] Ag MLN stim,[IL-5] CD3 MLN stim,[IL-10] Media MLN stim,[IL-10] CD MLN stim,[IL-10] Ag MLN stim,[IL-17]Media MLN stim,[IL-17] CD MLN stim,[IL-17] Ag MLN stim,[GAPDH] QPCR Gut,[Arg1] QPCR Gut,[CD36] QPCR Gut,[Idlr] QPCR Gut,[iNOS] QPCR Gut,[PPARg1&2] QPCR Gut,[RELMa] QPCR Gut,[Arg1] QPCR Spleen,[CD36] QPCR Spleen,[GAPDH] QPCR Spleen,[Idlr] QPCR Spleen,[iNOS] QPCR spleen,[PPARg1&2] QPCR spleen,[RELMa] QPCR spleen,wean BW,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BWd9,BWd21,FinalBW,ADWG,ADWG expt,ADWG expt diet,FI 1,FI 2,FI 3,FI 4,FI 5,FI 6,FI 7,FI 8,FI 9,FI 10,FI 11,ADFI,ADFI expt,spleen wt,gut wt,Spl_BW,Gut_BW,granulomas,colon contents,wet carcass wt,dry carcass wt,DMR ratio,Fat %,EIC,Adult Male,Adult Female,Juv Male,Juv Female,Total worms,tWB,PCF,Juv Per
SB-105,140,ROH,1_0,1,0,HP,21,0,0.092,"51,200.00","6,400.00",0,0.125,0,0,0,0,0,0,0.008,0,0,0,0,0,2.901,0.006,0,0,0.015,0.232,0,0.003,0.001,0,0.008,0.023,0.003,0.354,0,20.19,23.83,29.85,34.88,36.65,36.45,41.39,45,45.42,46.3,47.28,52.68,53.62,,56.17,56.17,1.09,0.926,1.232,5.655,6.637,5.523,5.593,5.24,6.433,4.338,4.587,4.22,5.883,4.9,,,,3.31,0,58.928,70,0.24,49.06,22.1,0.45,20.703,0.00,0,0,0,0,0,0,*,*
SB-105,142,ROH,0_1,0,1,LP,9,0,0.074,0,400,0,0.15,0,0,0,0,0,0,0.903,0.053,0.486,0.039,0,0,0,,,,,,,,,,,,,,,11.79,15.4,20.4,27.34,31.01,32.73,34.63,35.57,35.79,32.89,,,,33.06,,33.06,0.645,0.249,-0.131,4.03,5.437,4.973,5.33,4.363,5.69,4.353,3.183,,,,,,0.164,1.997,4.961,60.405,0,0.21,31.21,10.9,0.349,9.265,0.00,17,11,0,0,28,1.462,0,0
SB-105,143,ROH,0_1,0,1,LP,21,0,0.272,"51,200.00",0,0,,0,0,,0,0,0,0.127,0,0,0,0,3.228,0,,,,,,,,,,,,,,,11.81,14.08,19.17,24.14,29.27,27.76,33.76,35.31,33.63,32.89,34.37,32.91,33.41,,34.06,34.06,0.674,0.431,0.025,3.98,4.933,5.425,4.967,5.163,5.973,4.928,4.443,4.398,3.907,3.725,,,0.156,2.304,4.58,67.645,24,0.21,29.1,12,0.412,16.398,11056.50,63,87,0,0,150,2.179,127.086,0
SB-105,144,ROH,1_1,1,1,LP,9,0,0.534,"248,000.00",400,0.003,0.3,0,0,0,0,0,0,0.264,0.025,0.111,0.016,0,0,0,0.096,0.016,0.105,0.002,0.012,0.059,0.104,0.003,0,0.003,0.005,0.003,0.407,0,14.72,18.03,25.86,29.94,32.2,33.05,36.92,37.45,34.86,34.85,,,,35.51,,35.51,0.63,0.242,-0.118,4.953,5.717,5.42,5.383,5.168,5.49,4.113,4.327,,,,,,0.14,2.184,3.943,61.504,39,0.22,32.1,12.5,0.389,13.803,0.00,0,0,0,1,1,0.301,*,100
SB-105,145,ROH,0_1,0,1,LP,21,0,0.257,"12,800.00",800,0,0,,0,0,0,0,0,2.326,0,0.005,0,0,1.24,0,0.017,0,0,0.454,0.002,0,0.002,0.003,0.001,0.036,0.049,0.014,0,0.005,20.46,24.27,30.73,33.85,36.71,37.35,41.71,41.97,39.21,38.31,38.24,38.22,36.46,,37.02,37.02,0.502,0.138,-0.391,5.833,6.223,5.865,6.04,5.638,5.343,4.548,3.87,3.5,3.43,2.793,,,0.145,2.234,3.917,60.346,44,0.18,32.55,13.5,0.415,16.666,3766.50,19,33,0,0,52,1.724,114.136,0
SB-105,146,ROH,0_1,0,1,HP,21,0,0.215,"6,400.00",0,0,0,0,0,0,0,0.06,,5.495,0,5.989,0,0,41.957,0,,,,,,,,,,,,,,,17.66,22.26,27.68,30.56,33.81,33.83,38.77,42.36,42.72,45.43,48.1,49.81,49.19,,50.62,50.62,0.999,0.872,0.987,5.135,5.89,5.725,5.167,5.77,6.48,4.818,4.673,4.42,4.537,3.245,,,0.475,3.375,9.384,66.673,66,0.07,43.12,17.8,0.413,16.447,166.50,16,34,0,0,50,1.708,4.897,0
SB-105,147,ROH,1_1,1,1,LP,21,0,0.599,"25,600.00","1,600.00",0,0,,0,0.978,0,0.075,0.036,2.029,0,2.812,0,0,0,0,0.151,0.067,0.112,0.012,0.006,0.025,0.092,0.018,0,0.054,0.044,0.034,0.015,0.03,15.65,18.23,25.53,29.68,34.28,33.94,38.52,39.9,36.05,36.57,35.62,35.3,34.86,,34.93,34.93,0.584,0.228,-0.299,4.498,5.943,6.06,5.46,5.298,6.363,4.245,4.493,3.873,3.73,3.858,,,0.109,1.93,3.121,55.253,83,0.08,31.45,13.1,0.417,16.868,3.00,3,1,0,0,4,0.699,3,0
SB-105,148,ROH,0_1,0,1,LP,21,0,0.212,"3,200.00",0,0,0,0,1.414,3.61,0,,,,1.084,1.825,2.276,0.366,3.383,0,,,,,,,,,,,,,,,15.02,18.3,24.88,30.24,32.35,33.06,36.77,36.25,34.9,34.38,31.65,31.05,32.18,,33.65,33.65,0.565,0.148,-0.26,4.585,5.943,5.573,5.63,5.108,5.043,4.07,3.737,2.63,3.067,3.87,,,0.133,2.233,3.952,66.36,25,0.08,29.31,12.3,0.42,17.221,6210.00,56,71,0,0,127,2.107,87.465,0
SB-105,149,ROH,1_1,1,1,LP,9,0,0.494,"248,000.00","3,200.00",0,,0,0,2.016,0,1.001,0.246,1.476,9.671,0.463,3.973,0,0.56,0,,,,,,,,,,,,,,,15.12,17.27,24.37,27.59,34.25,32.82,36.24,38.71,34.76,35.06,,,,34.51,,34.51,0.588,0.301,-0.144,4.075,5.26,5.81,4.633,4.728,6.53,4.55,4.133,,,,,,0.124,2.112,3.593,61.2,53,0.15,30.81,11.3,0.367,11.244,0.00,0,0,1,3,4,0.699,*,100
SB-105,150,ROH,0_0,0,0,LP,21,0,0.059,0,0,0.001,0,,0,7.631,,0,0,0,0,0,0,0,0,0,0.002,0,0,0.007,0,0,0,0.01,0.001,0.069,0.039,0.038,0.058,0.004,15.65,17.24,20.68,28.04,31.05,32.11,36.12,38.7,37.45,37.52,38.89,39.18,39.6,,41.83,41.83,0.793,0.6,0.476,3.378,5.903,5.68,5.623,5.125,6.737,5.763,4.717,5.425,5.07,5.163,,,0.086,1.87,2.056,44.705,0,0.15,37.61,17,0.452,20.877,0.00,0,0,0,0,0,0,*,*
SB-105,151,ROH,1_1,1,1,HP,21,0,0.426,"25,600.00",0,0.031,,0,0,0.971,0,0,0,0.339,0,0,0,0,0,0,0.529,0.105,0.146,0.011,0.033,0.09,0.132,0.003,0,0.002,0.008,0,0.117,0,13.17,16.63,21.73,25.33,29.56,29.12,34.83,36.36,39.02,40.55,40.88,43.23,44.72,,47.33,47.33,1.035,0.957,1.042,3.895,4.83,5.14,4.79,5.043,5.483,4.313,3.837,3.778,5.163,4.415,,,0.178,2.647,3.761,55.926,87,0.12,41.72,18.2,0.436,19.095,1.50,0,0,0,0,0,0,*,*
SB-105,153,ROH,1_1,1,1,LP,21,0,0.603,"12,800.00",0,0.031,0,0.993,0,1.965,0,0,0,0.221,0,0,0,0,0,0,,,,,,,,,,,,,,,12.4,13.94,18.05,23.39,30.06,28.92,33.35,33.9,32.49,32.65,35.48,34.62,35.01,,34.68,34.68,0.675,0.491,0.111,3.315,4.407,5.853,4.293,4.398,5.65,4.263,5.543,4.675,4.52,4.418,,,0.128,1.856,3.691,53.518,56,0.22,31.37,13.3,0.424,17.709,0.00,1,1,0,0,2,0.477,0,0
SB-105,154,ROH,0_1,0,1,HP,21,0,0.189,"6,400.00",0,0,0,0,0.925,3.565,0,0,0,3.934,0,0.07,0,0,0,0,,,,,,,,,,,,,,,12.91,16.19,21.87,27,31.57,30.24,34.2,36.8,42.39,43.5,47.25,44.76,45.46,,47.16,47.16,1.038,0.877,1.08,4.295,5.35,5.358,4.467,4.703,6.6,5.775,4.963,4.393,3.257,3.058,,,0.336,3.394,7.125,71.968,53,0.2,40.53,16.9,0.417,16.918,1831.50,18,56,0,0,74,1.875,32.705,0
SB-105,157,ROH,0_0,0,0,HP,21,0,0,"6,400.00",800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.008,0.693,0,0,0.178,0.073,0.274,0.435,0.084,0,0.01,17.4,20.76,24.74,29.24,26.28,29.66,33.55,36.53,40.11,42.13,47.46,47.73,50.58,,52.69,52.69,1.069,1.02,1.595,4.613,4.893,4.428,4.567,5.823,5.527,4.463,5.52,5.31,4.977,5.333,,,0.113,2.237,2.145,42.456,0,0.06,48.98,22.8,0.465,22.401,0.00,0,0,0,0,0,0,*,*
SB-105,158,ROH,1_0,1,0,LP,21,0,,400,0,0,0,0,0,0,0,0,0,0.143,0,0.143,0,0,0,0,0.589,0.029,3.99,0.174,6.945,0.06,0.064,0.171,0.076,0.24,0.373,0.073,0.334,0.019,17.22,21.26,27.28,31.3,35.09,35.11,38.93,38.15,37.74,36.81,36.88,38.29,41.02,,42.24,42.24,0.758,0.476,0.276,5.238,5.63,6.46,5.88,5.148,5.36,5.458,4.47,4.683,4.787,6.393,,,0.095,1.96,2.249,46.402,41,0.16,38.41,17.1,0.445,20.107,0.00,0,0,0,0,0,0,*,*
SB-105,159,ROH,0_1,0,1,LP,21,0,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,18.99,22.6,27.96,30.49,34.91,35.83,39.88,38.04,37.39,39.47,36.58,35.54,35.4,,35.69,35.69,0.506,0.226,-0.349,4.623,5.987,6.368,5.853,5.463,4.847,4.508,4.24,3.573,3.407,4.015,,,0.144,2.156,4.035,60.409,31,0.1,33.47,13.8,0.412,16.391,9706.50,63,70,0,0,133,2.127,138.664,0
SB-105,160,ROH,0_1,0,1,HP,9,0,0.011,0,"51,200.00",0,0,0,0,3.622,0,0,0.954,12.47,0,27.519,0,0,0.558,0,,,,,,,,,,,,,,,17.39,22.92,28.98,31.07,34.75,34.98,40.14,41.63,46.68,50.3,,,,53.03,,53.03,1.08,0.955,1.074,4.928,5.323,6.338,5.41,6.155,5.673,5.865,6.257,,,,,,0.222,3.363,4.186,63.417,0,0.12,46.53,21,0.451,20.799,0.00,3,2,1,5,11,1.079,0,54.545
SB-105,161,ROH,1_1,1,1,HP,9,0,,400,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.55,27.22,32.27,36.27,38.06,38.18,40.73,43.22,46.45,50.41,,,,51.95,,51.95,0.921,0.682,0.935,5.388,5.993,6.065,5.627,5.073,5.767,5.273,5.677,,,,,,0.196,3.156,3.773,60.751,59,0.13,44.65,19.7,0.441,19.657,0.00,0,0,0,0,0,0,*,*
SB-105,162,ROL,1_0,1,0,LP,21,0,0.102,0,0,0,0,0,0,1.794,0,0,0,0.185,0,0.185,0,0,0.695,0,0.085,0,0,0.006,0.076,0.003,0.001,0.105,0.092,0.292,1.605,0.105,0.467,0.003,7.98,8.94,9.3,9.77,12.37,12.29,14.31,12.98,13.97,14.05,14.57,14.96,15.72,,16,16,0.243,0.271,0.141,2.098,2.383,3.263,2.907,3.305,2.47,3.1,3.383,3.165,3.313,3.408,,,0.04,0.898,2.5,56.125,4,0.09,14.75,5.4,0.366,11.169,3.00,0,0,0,0,0,0,*,*
SB-105,163,ROL,1_1,1,1,HP,9,0,0.271,"6,400.00",0,0.206,0,0,,,,,,,,,,,,,0.928,0.092,0.178,0.075,0.278,0.051,0.044,,,,,,,,7.25,8.95,7.82,7.73,7.04,9.66,9.58,12.12,13.22,14.18,,,,14.81,,14.81,0.229,0.308,0.436,1.835,2,1.855,2.643,2.565,2.67,1.995,2.013,,,,,,0.099,1.149,6.685,77.583,0,0.02,13.6,4.2,0.309,4.697,0.00,2,1,2,2,7,0.903,0,57.143
